A    3  1.345  2.285  1.697  0.512  0.290  0.122  0.210  0.099
B    6  2.222  2.950  2.640  0.265  0.129  0.066  0.088  0.021
C   41  3.055  4.302  3.530  0.243  0.060  0.019  0.039  0.009
D   19  3.443  4.145  3.793  0.191  0.042  0.022  0.030  0.005
E    8  0.637  1.125  0.924  0.165  0.556  0.355  0.427  0.065
F   10  3.055  3.738  3.489  0.216  0.060  0.032  0.040  0.008
G    5  2.887  3.468  3.149  0.123  0.070  0.041  0.055  0.006
M   21  1.733  2.857  2.325  0.330  0.203  0.072  0.117  0.036
P   23  3.275  4.050  3.790  0.214  0.049  0.024  0.030  0.006
Q    1  1.695  1.695  1.695  -.999  0.210  0.210  0.210  -.999
R    1  1.510  1.510  1.510  -.999  0.249  0.249  0.249  -.999
S   73  1.533  2.730  2.030  0.247  0.244  0.081  0.154  0.035
T    1  3.443  3.443  3.443  -.999  0.042  0.042  0.042  -.999
V    1  1.510  1.510  1.510  -.999  0.249  0.249  0.249  -.999
