Asteroid designations ( Number, Name, Temporary designation): 348400, -,  K05J21F, 2005 JU67, K05J67U
Observation was done on (UT) (format YYYY-MM-DD-hh): 2015 - 05 - 24 - 03:45
Observation was made by : M. Popescu, R. Errmann E-mail; mpopescu@imcce.fr
At observatory with UAI code: 950
Obsv. comments: If this spectrum is usefull please contact: ovidiu.vaduvescu@gmail.com; mpopescu@imcce.fr
The spectrum was published in the article: Unpublished;Contact:mpopescu@imcce.fr
The normalization of this spectrum was made for the wavelength: 0.550 microns.
Original name of the file was: 348400vshd170717.txt
Wavelength[um]	Reflectance	sigma(optional)
0.4008000 0.81469 0.05755
0.4024000 0.66376 0.05139
0.4040000 0.57640 0.05404
0.4056000 0.67698 0.04990
0.4073000 0.59530 0.05159
0.4089000 0.82997 0.04861
0.4105000 0.79354 0.05243
0.4121000 0.76445 0.04319
0.4137000 0.72968 0.04249
0.4154000 0.68355 0.04045
0.4170000 0.79873 0.04222
0.4186000 0.76229 0.04350
0.4202000 0.83467 0.03973
0.4218000 0.74447 0.03596
0.4235000 0.78482 0.03546
0.4251000 0.73389 0.03592
0.4267000 0.69540 0.03463
0.4283000 0.74848 0.03600
0.4300000 0.63937 0.04011
0.4316000 0.79794 0.03855
0.4332000 0.82547 0.03429
0.4348000 0.86268 0.03755
0.4365000 0.79471 0.02935
0.4381000 0.79334 0.02989
0.4397000 0.79060 0.03225
0.4413000 0.84682 0.03195
0.4429000 0.86024 0.03066
0.4446000 0.86719 0.02710
0.4462000 0.80402 0.02582
0.4478000 0.87689 0.02568
0.4494000 0.87963 0.02534
0.4511000 0.81596 0.02483
0.4527000 0.80304 0.02704
0.4543000 0.86043 0.02448
0.4559000 0.85788 0.02584
0.4576000 0.89334 0.02423
0.4592000 0.91214 0.02477
0.4608000 0.85338 0.02533
0.4624000 0.85955 0.02334
0.4641000 0.86709 0.02260
0.4657000 0.83124 0.02288
0.4673000 0.82498 0.02328
0.4689000 0.83262 0.02241
0.4706000 0.85230 0.02275
0.4722000 0.83751 0.02054
0.4738000 0.88541 0.02095
0.4754000 0.85083 0.02154
0.4771000 0.92302 0.02056
0.4787000 0.91596 0.02104
0.4803000 0.89912 0.02001
0.4819000 0.90637 0.02003
0.4836000 0.92478 0.02135
0.4852000 0.82449 0.02268
0.4868000 0.95945 0.02396
0.4884000 0.87542 0.02051
0.4901000 0.93242 0.02075
0.4917000 0.90392 0.01973
0.4933000 0.90206 0.02047
0.4950000 0.93134 0.01973
0.4966000 0.90431 0.01938
0.4982000 0.88923 0.01975
0.4998000 0.89363 0.01943
0.5015000 0.90735 0.02073
0.5031000 0.90118 0.01974
0.5047000 0.85397 0.01967
0.5064000 0.87992 0.01739
0.5080000 0.91645 0.01770
0.5096000 0.86974 0.01746
0.5112000 0.90264 0.01907
0.5129000 0.90010 0.01900
0.5145000 0.93350 0.01905
0.5161000 0.85113 0.01819
0.5178000 0.89598 0.01960
0.5194000 0.96523 0.01872
0.5210000 0.96288 0.01962
0.5226000 1.00020 0.01848
0.5243000 0.97914 0.01818
0.5259000 0.94123 0.01742
0.5275000 1.00245 0.01915
0.5292000 0.98110 0.01809
0.5308000 0.99549 0.01731
0.5324000 1.00362 0.02030
0.5341000 1.01136 0.01901
0.5357000 1.04447 0.01715
0.5373000 1.01557 0.01899
0.5389000 0.95906 0.01786
0.5406000 1.00548 0.01891
0.5422000 0.96454 0.01869
0.5438000 1.02762 0.01794
0.5455000 1.00617 0.01819
0.5471000 0.98325 0.01870
0.5487000 0.96601 0.01900
0.5504000 1.00000 0.01807
0.5520000 0.96641 0.01965
0.5536000 0.97630 0.01843
0.5553000 1.03359 0.01866
0.5569000 1.07904 0.08756
0.5585000 0.98061 0.03306
0.5602000 1.00813 0.01886
0.5618000 1.00264 0.01998
0.5634000 1.06934 0.01894
0.5651000 1.02791 0.01851
0.5667000 1.06092 0.01889
0.5683000 1.02282 0.01970
0.5700000 1.03820 0.01856
0.5716000 1.07659 0.01914
0.5732000 1.02733 0.01879
0.5749000 1.06259 0.01892
0.5765000 1.05005 0.01873
0.5781000 1.11528 0.01854
0.5798000 1.10274 0.01761
0.5814000 1.09128 0.01898
0.5830000 1.11450 0.01755
0.5847000 1.03830 0.01787
0.5863000 1.07424 0.02388
0.5879000 1.04721 0.02989
0.5896000 1.09442 0.03591
0.5912000 1.08266 0.02057
0.5928000 1.07111 0.02038
0.5945000 1.10039 0.02043
0.5961000 1.09892 0.02003
0.5977000 1.07679 0.02027
0.5994000 1.04662 0.02051
0.6010000 1.10284 0.01818
0.6027000 1.11939 0.01864
0.6043000 1.14407 0.01890
0.6059000 1.08825 0.01910
0.6076000 1.08991 0.01874
0.6092000 1.09745 0.01832
0.6108000 1.10333 0.01931
0.6125000 1.10284 0.01809
0.6141000 1.06807 0.01937
0.6157000 1.08482 0.01983
0.6174000 1.12468 0.01982
0.6190000 1.08893 0.01893
0.6207000 1.17747 0.01898
0.6223000 1.10421 0.02154
0.6239000 1.05406 0.02267
0.6256000 1.18815 0.02302
0.6272000 1.14016 0.02088
0.6288000 1.07326 0.02836
0.6305000 1.04878 0.02469
0.6321000 1.15426 0.02274
0.6338000 1.11900 0.02170
0.6354000 1.18697 0.02482
0.6370000 1.17669 0.02039
0.6387000 1.13497 0.02044
0.6403000 1.12684 0.01981
0.6419000 1.16376 0.02004
0.6436000 1.12027 0.01895
0.6452000 1.14956 0.02160
0.6469000 1.14760 0.02210
0.6485000 1.18168 0.02178
0.6501000 1.16425 0.02299
0.6518000 1.12135 0.02249
0.6534000 1.18629 0.02232
0.6551000 1.09089 0.02953
0.6567000 1.29432 0.02583
0.6583000 1.22184 0.02222
0.6600000 1.16807 0.02171
0.6616000 1.11645 0.02013
0.6633000 1.20597 0.01987
0.6649000 1.12782 0.01959
0.6665000 1.21156 0.02014
0.6682000 1.17698 0.02088
0.6698000 1.18874 0.02036
0.6715000 1.17522 0.02198
0.6731000 1.24662 0.02128
0.6748000 1.21949 0.02003
0.6764000 1.25935 0.01996
0.6780000 1.17218 0.02032
0.6797000 1.19951 0.02004
0.6813000 1.22566 0.02207
0.6830000 1.19089 0.02762
0.6846000 1.17444 0.02268
0.6862000 1.28119 0.02980
0.6879000 1.23046 0.02681
0.6895000 1.24672 0.02370
0.6912000 1.25142 0.02788
0.6928000 1.22135 0.02236
0.6945000 1.19422 0.02708
0.6961000 1.30568 0.02499
0.6978000 1.20627 0.02502
0.6994000 1.17385 0.02288
0.7010000 1.21929 0.02288
0.7027000 1.21391 0.02307
0.7043000 1.23340 0.03501
0.7060000 1.27473 0.02296
0.7076000 1.26915 0.02216
0.7093000 1.15945 0.02254
0.7109000 1.18932 0.02221
0.7125000 1.14192 0.02377
0.7142000 1.21058 0.02326
0.7158000 1.24486 0.02457
0.7175000 1.22390 0.02392
0.7191000 1.19265 0.02413
0.7208000 1.23056 0.02405
0.7224000 1.30588 0.03104
0.7241000 1.19726 0.04022
0.7257000 1.23066 0.04089
0.7274000 1.20451 0.04156
0.7290000 1.20020 0.03074
0.7306000 1.23330 0.03784
0.7323000 1.21714 0.03303
0.7339000 1.24310 0.03641
0.7356000 1.19354 0.03491
0.7372000 1.24662 0.02856
0.7389000 1.20382 0.03305
0.7405000 1.26484 0.02873
0.7422000 1.22488 0.02924
0.7438000 1.20274 0.02647
0.7455000 1.21136 0.02682
0.7471000 1.18364 0.03525
0.7488000 1.17953 0.04049
0.7504000 1.12674 0.04573
0.7521000 1.10118 0.05098
0.7537000 1.13026 0.05622
0.7553000 1.12889 0.05829
0.7570000 1.18511 0.06035
0.7586000 1.01645 0.06242
0.7609000 1.12243 0.06448
0.7632000 1.14780 0.06390
0.7648000 1.18727 0.06331
0.7665000 1.16357 0.06273
0.7681000 1.08266 0.06214
0.7698000 1.08149 0.06156
0.7714000 1.08697 0.06097
0.7731000 1.08541 0.06039
0.7747000 0.97845 0.05981
0.7764000 1.02096 0.05922
0.7780000 1.07326 0.05864
0.7797000 1.07365 0.05805
0.7813000 1.03046 0.05747
0.7830000 0.98110 0.05688
0.7846000 0.98746 0.05630
0.7863000 0.96161 0.05753
0.7879000 0.91019 0.05877
0.7896000 0.85201 0.06001
0.7912000 0.93085 0.06125
0.7929000 0.95240 0.05869
0.7945000 0.95122 0.05614
0.7962000 0.90225 0.05359
0.7978000 1.06249 0.05095
0.7995000 0.79403 0.04831
0.8011000 0.81783 0.04924
0.8028000 1.01685 0.04658
0.8044000 0.87287 0.04392
0.8061000 0.89393 0.04126
0.8077000 0.83428 0.04132
0.8094000 0.92106 0.04138
0.8110000 0.81381 0.03890
0.8127000 0.88903 0.03641
0.8143000 0.90617 0.03900
0.8160000 0.80049 0.03913
0.8176000 0.74976 0.03927
0.8193000 0.74848 0.03940
0.8209000 0.77855 0.03703
0.8226000 0.81214 0.03773
0.8243000 0.81655 0.03695
0.8259000 0.87728 0.03594
0.8276000 0.76650 0.06862
0.8292000 0.79990 0.06886
0.8309000 0.71420 0.04812
0.8325000 0.76964 0.04071
0.8342000 0.86092 0.09292
0.8358000 0.72929 0.05121
0.8375000 0.72067 0.05438
0.8391000 0.75054 0.07473
0.8408000 0.74829 0.05703
0.8424000 0.63526 0.07439
0.8441000 0.68609 0.05356
0.8458000 0.72037 0.06788
0.8474000 0.70646 0.03937
0.8491000 0.79579 0.06056
0.8507000 0.81254 0.05439
0.8524000 0.69843 0.03999
0.8540000 0.63262 0.05663
0.8557000 0.66778 0.03812
0.8573000 0.64701 0.04167
0.8590000 0.61185 0.04522
0.8607000 0.62870 0.05481
0.8623000 0.50930 0.06219
0.8640000 0.79638 0.06957
0.8656000 0.55455 0.09929
0.8673000 0.62360 0.07054
0.8689000 0.67542 0.05174
0.8706000 0.62576 0.04384
0.8723000 0.57924 0.03986
0.8739000 0.61616 0.04371
0.8756000 0.53242 0.08700
0.8772000 0.51107 0.09161
0.8789000 0.54535 0.05794
0.8805000 0.62253 0.04451
0.8822000 0.60098 0.11606
0.8847000 0.67953 0.16881
0.8863000 0.58071 0.06869
0.8882000 0.55730 0.07666
0.8901000 0.58776 0.07026
0.8917000 0.64927 0.10714
0.8934000 0.48815 0.06347
0.8953000 0.62057 0.07857
0.8975000 0.64682 0.05707
0.8994000 0.46327 0.08101
0.9013000 0.64946 0.04936
0.9029000 0.56082 0.05608
0.9046000 0.47835 0.06274
0.9062000 0.55994 0.04730
0.9079000 0.53232 0.05169
0.9096000 0.64838 0.06189
0.9112000 0.51401 0.06386
0.9129000 0.60451 0.06582
0.9145000 0.58511 0.06778
0.9162000 0.60431 0.06974
0.9179000 0.63075 0.07170
0.9195000 0.57140 0.07366
0.9212000 0.48658 0.07563
0.9228000 0.59167 0.07759
0.9245000 0.48932 0.07955
0.9262000 0.56278 0.08151
0.9278000 0.58364 0.08347
0.9295000 0.57718 0.08543
0.9312000 0.47424 0.19503
0.9333000 0.63830 0.14014
0.9355000 0.63350 0.10017
0.9375000 0.62595 0.23446
0.9395000 0.64535 0.09849
0.9411000 0.63683 0.12127
0.9432000 0.74770 0.17152
0.9457000 0.64731 0.14612
0.9481000 0.67375 0.13335
