Asteroid designations ( Number, Name, Temporary designation): 214088, -,  K04J13N, 1975 XA, J75X00A
Observation was done on (UT) (format YYYY-MM-DD-hh): 2014 - 12 - 30 - 01:20
Observation was made by : O. Vaduvescu, F. Stevance E-mail; ovidiu.vaduvescu@gmail.com
At observatory with UAI code: 950
Obsv. comments: If this spectrum is usefull for you please contact: ovidiu.vaduvescu@gmail.com; mpopescu@imcce.fr
The spectrum was published in the article: Unpublished;Contact:mpopescu@imcce.fr
The normalization of this spectrum was made for the wavelength: 0.550 microns.
Original name of the file was: nea214088vshd283886.txt
Wavelength[um]	Reflectance	sigma(optional)
0.4402000 0.76082 0.00722
0.4406000 0.76233 0.00706
0.4410000 0.79003 0.00668
0.4414000 0.80135 0.00645
0.4418000 0.78326 0.00703
0.4422000 0.78154 0.00680
0.4426000 0.78700 0.00758
0.4430000 0.78023 0.00609
0.4435000 0.78740 0.00658
0.4439000 0.79054 0.00646
0.4443000 0.78245 0.00645
0.4447000 0.78629 0.00663
0.4451000 0.78154 0.00634
0.4455000 0.78720 0.00673
0.4459000 0.78831 0.00717
0.4463000 0.77012 0.00643
0.4467000 0.79640 0.00637
0.4471000 0.80297 0.00658
0.4475000 0.79377 0.00640
0.4479000 0.81349 0.00643
0.4483000 0.81237 0.00591
0.4487000 0.80803 0.00604
0.4491000 0.80530 0.00668
0.4495000 0.79741 0.00532
0.4499000 0.81066 0.00647
0.4504000 0.81874 0.00606
0.4508000 0.81126 0.00569
0.4512000 0.80510 0.00579
0.4516000 0.79650 0.00566
0.4520000 0.79994 0.00562
0.4524000 0.79307 0.00602
0.4528000 0.78245 0.00619
0.4532000 0.79590 0.00567
0.4536000 0.80156 0.00616
0.4540000 0.81561 0.00558
0.4544000 0.83694 0.00577
0.4548000 0.82097 0.00616
0.4552000 0.81258 0.00648
0.4556000 0.80884 0.00655
0.4560000 0.80803 0.00576
0.4564000 0.82410 0.00552
0.4569000 0.83219 0.00581
0.4573000 0.82673 0.00559
0.4577000 0.82359 0.00566
0.4581000 0.83249 0.00558
0.4585000 0.82400 0.00549
0.4589000 0.83350 0.00618
0.4593000 0.83330 0.00588
0.4597000 0.82430 0.00607
0.4601000 0.83006 0.00525
0.4605000 0.83431 0.00546
0.4609000 0.84321 0.00573
0.4613000 0.85402 0.00593
0.4617000 0.83047 0.00549
0.4621000 0.81440 0.00566
0.4625000 0.82380 0.00541
0.4629000 0.83259 0.00531
0.4634000 0.84412 0.00546
0.4638000 0.84482 0.00606
0.4642000 0.84149 0.00586
0.4646000 0.82703 0.00533
0.4650000 0.83037 0.00611
0.4654000 0.82926 0.00573
0.4658000 0.82855 0.00568
0.4662000 0.85443 0.00538
0.4666000 0.85968 0.00531
0.4670000 0.85726 0.00543
0.4674000 0.84199 0.00586
0.4678000 0.83209 0.00484
0.4682000 0.84968 0.00512
0.4686000 0.84644 0.00524
0.4690000 0.85685 0.00563
0.4695000 0.86262 0.00522
0.4699000 0.84644 0.00531
0.4703000 0.83633 0.00588
0.4707000 0.84412 0.00522
0.4711000 0.84351 0.00517
0.4715000 0.84027 0.00547
0.4719000 0.86595 0.00541
0.4723000 0.85301 0.00497
0.4727000 0.84351 0.00476
0.4731000 0.85352 0.00507
0.4735000 0.85150 0.00502
0.4739000 0.85503 0.00474
0.4743000 0.86252 0.00471
0.4747000 0.87657 0.00526
0.4751000 0.88314 0.00526
0.4755000 0.87202 0.00544
0.4760000 0.85797 0.00499
0.4764000 0.86575 0.00484
0.4768000 0.87889 0.00511
0.4772000 0.87667 0.00462
0.4776000 0.87202 0.00511
0.4780000 0.87525 0.00515
0.4784000 0.87182 0.00522
0.4788000 0.87323 0.00483
0.4792000 0.87909 0.00519
0.4796000 0.88243 0.00497
0.4800000 0.87495 0.00480
0.4804000 0.88031 0.00508
0.4808000 0.89840 0.00501
0.4812000 0.89395 0.00510
0.4816000 0.87909 0.00456
0.4821000 0.87839 0.00476
0.4825000 0.87727 0.00507
0.4829000 0.88314 0.00493
0.4833000 0.88415 0.00477
0.4837000 0.87465 0.00525
0.4841000 0.87677 0.00479
0.4845000 0.89537 0.00549
0.4849000 0.90467 0.00503
0.4853000 0.90740 0.00455
0.4857000 0.90700 0.00532
0.4861000 0.90780 0.00579
0.4865000 0.90558 0.01236
0.4869000 0.89001 0.01113
0.4873000 0.90032 0.00989
0.4878000 0.89224 0.00865
0.4882000 0.87818 0.00742
0.4886000 0.89648 0.00618
0.4890000 0.91114 0.00494
0.4894000 0.89668 0.00500
0.4898000 0.90002 0.00506
0.4902000 0.91276 0.00512
0.4906000 0.89901 0.00514
0.4910000 0.88779 0.00516
0.4914000 0.88112 0.00517
0.4918000 0.89284 0.00519
0.4922000 0.91539 0.00520
0.4926000 0.90174 0.00522
0.4930000 0.88162 0.00523
0.4934000 0.88496 0.00525
0.4939000 0.89052 0.00526
0.4943000 0.89739 0.00528
0.4947000 0.90457 0.00529
0.4951000 0.89052 0.00531
0.4955000 0.88364 0.00533
0.4959000 0.89749 0.00534
0.4963000 0.90609 0.00536
0.4967000 0.90346 0.00537
0.4971000 0.91903 0.00539
0.4975000 0.90932 0.00540
0.4979000 0.88779 0.00542
0.4983000 0.91084 0.00543
0.4987000 0.92721 0.00545
0.4991000 0.92378 0.00547
0.4996000 0.91842 0.00548
0.5000000 0.89871 0.00550
0.5004000 0.88192 0.00551
0.5008000 0.88647 0.00553
0.5012000 0.89790 0.00554
0.5016000 0.90841 0.00556
0.5020000 0.91761 0.00584
0.5024000 0.91994 0.00612
0.5028000 0.91438 0.00640
0.5032000 0.90477 0.00668
0.5036000 0.91266 0.00696
0.5040000 0.93571 0.00723
0.5044000 0.92863 0.00751
0.5048000 0.91438 0.00779
0.5053000 0.91033 0.00807
0.5057000 0.91478 0.00835
0.5061000 0.92337 0.00863
0.5065000 0.91549 0.00891
0.5069000 0.89881 0.00919
0.5073000 0.91053 0.01041
0.5077000 0.91235 0.01164
0.5081000 0.89092 0.01286
0.5085000 0.90123 0.01408
0.5089000 0.91448 0.01530
0.5093000 0.91438 0.01653
0.5097000 0.91357 0.01589
0.5101000 0.91488 0.01525
0.5105000 0.92732 0.01462
0.5110000 0.93732 0.01398
0.5114000 0.93571 0.01335
0.5118000 0.92913 0.01271
0.5122000 0.92004 0.01207
0.5126000 0.92327 0.01144
0.5130000 0.92499 0.01080
0.5134000 0.91286 0.01016
0.5138000 0.92651 0.00953
0.5142000 0.93975 0.00889
0.5146000 0.92165 0.00825
0.5150000 0.92145 0.00762
0.5154000 0.93368 0.00698
0.5158000 0.92196 0.00634
0.5162000 0.90922 0.00571
0.5167000 0.90973 0.00507
0.5171000 0.92913 0.00503
0.5175000 0.93682 0.00559
0.5179000 0.91903 0.00529
0.5183000 0.92772 0.00500
0.5187000 0.95026 0.00470
0.5191000 0.95815 0.00440
0.5195000 0.96583 0.00442
0.5199000 0.96593 0.00448
0.5203000 0.96836 0.00442
0.5207000 0.97068 0.00435
0.5211000 0.96502 0.00428
0.5215000 0.96816 0.00421
0.5220000 0.95643 0.00476
0.5224000 0.96320 0.00435
0.5228000 0.96452 0.00416
0.5232000 0.95158 0.00411
0.5236000 0.97271 0.00441
0.5240000 0.98474 0.00409
0.5244000 0.97918 0.00424
0.5248000 0.97766 0.00416
0.5252000 0.98160 0.00424
0.5256000 0.97463 0.00434
0.5260000 0.95926 0.00453
