Asteroid designations ( Number, Name, Temporary designation): 333578, -,  K06KA3M
Observation was done on (UT) (format YYYY-MM-DD-hh): 2014 - 08 - 21 - 01:35
Observation was made by : O. Vaduvescu; M. Popescu E-mail; ovidiu.vaduvescu@gmail.com;
At observatory with UAI code: 950
Obsv. comments: INT/IDS; If this spectrum is usefull please contact: ovidiu.vaduvescu@gmail.com; mpopescu@imcce.fr
The spectrum was published in the article: Unpublished; Contact:mpopescu@imcce.fr
The normalization of this spectrum was made for the wavelength: 0.550 microns.
Original name of the file was: 333578vshd239928.txt
Wavelength[um]	Reflectance	sigma(optional)
0.4009000 0.61935 0.05105
0.4031000 0.68688 0.04926
0.4049000 0.63561 0.05005
0.4070000 0.67431 0.04744
0.4090000 0.68918 0.04580
0.4114000 0.64359 0.04078
0.4130000 0.60618 0.03685
0.4147000 0.62504 0.03655
0.4163000 0.64888 0.03712
0.4179000 0.66913 0.03669
0.4195000 0.61995 0.03583
0.4212000 0.64140 0.03257
0.4232000 0.60888 0.03555
0.4248000 0.65387 0.03336
0.4265000 0.63521 0.03196
0.4283000 0.65746 0.03172
0.4301000 0.72708 0.04223
0.4317000 0.72319 0.03284
0.4334000 0.70065 0.03072
0.4350000 0.72549 0.02920
0.4366000 0.69925 0.02490
0.4382000 0.66075 0.02787
0.4399000 0.68429 0.02750
0.4415000 0.72818 0.02533
0.4431000 0.76968 0.02509
0.4447000 0.74125 0.02420
0.4464000 0.78653 0.02398
0.4480000 0.76838 0.02101
0.4496000 0.75072 0.02049
0.4513000 0.75332 0.02026
0.4529000 0.74404 0.02278
0.4545000 0.76828 0.02025
0.4561000 0.79910 0.02035
0.4578000 0.74444 0.01887
0.4594000 0.77027 0.02014
0.4610000 0.83900 0.01861
0.4626000 0.79421 0.01949
0.4643000 0.81486 0.01839
0.4659000 0.78623 0.01895
0.4675000 0.78753 0.01864
0.4692000 0.78544 0.01864
0.4708000 0.80539 0.01852
0.4724000 0.82544 0.01700
0.4740000 0.81805 0.01746
0.4757000 0.84768 0.01732
0.4773000 0.85047 0.01620
0.4789000 0.87511 0.01647
0.4806000 0.85965 0.01722
0.4822000 0.86803 0.01696
0.4838000 0.84978 0.01686
0.4854000 0.92299 0.01965
0.4871000 0.87142 0.01811
0.4887000 0.89097 0.01711
0.4903000 0.85596 0.01543
0.4920000 0.85895 0.01633
0.4936000 0.89636 0.01634
0.4952000 0.85666 0.01603
0.4969000 0.86514 0.01532
0.4985000 0.93945 0.01629
0.5001000 0.83671 0.01675
0.5017000 0.88758 0.01664
0.5034000 0.91332 0.01599
0.5050000 0.90145 0.01615
0.5066000 0.91491 0.01599
0.5083000 0.91900 0.01562
0.5099000 0.86574 0.01513
0.5115000 0.90284 0.01471
0.5132000 0.90574 0.01516
0.5148000 0.92239 0.01503
0.5164000 0.89377 0.01730
0.5181000 0.90095 0.01577
0.5197000 0.94733 0.01492
0.5213000 0.94484 0.01492
0.5229000 0.94025 0.01535
0.5246000 0.94693 0.01387
0.5262000 0.96928 0.01529
0.5278000 0.98314 0.01439
0.5295000 0.92469 0.01435
0.5311000 0.98264 0.01366
0.5327000 0.94833 0.01519
0.5344000 0.98304 0.01423
0.5360000 0.95800 0.01459
0.5376000 0.97327 0.01370
0.5393000 0.96209 0.01456
0.5409000 0.98204 0.01426
0.5425000 0.99910 0.01425
0.5442000 0.98185 0.01423
0.5458000 1.00329 0.01421
0.5474000 0.97347 0.01481
0.5491000 1.00319 0.01475
0.5507000 1.00000 0.01451
0.5523000 0.99860 0.01367
0.5540000 0.97805 0.01440
0.5556000 0.99631 0.01408
0.5572000 0.93137 0.02634
0.5589000 1.05616 0.01829
0.5605000 1.04848 0.01476
0.5621000 0.97676 0.01464
0.5638000 1.01476 0.01448
0.5654000 0.99042 0.01478
0.5670000 0.97496 0.01442
0.5687000 0.99242 0.01499
0.5703000 1.00569 0.01508
0.5719000 1.00628 0.01470
0.5736000 0.98075 0.01435
0.5752000 0.99122 0.01480
0.5768000 1.06843 0.01392
0.5785000 1.04618 0.01415
0.5801000 1.03551 0.01442
0.5818000 1.03461 0.01405
0.5834000 1.05566 0.01432
0.5850000 1.05117 0.01507
0.5867000 1.04998 0.01446
0.5883000 1.02464 0.02117
0.5899000 1.06993 0.02085
0.5916000 1.07641 0.01486
0.5932000 1.05566 0.01515
0.5948000 1.08628 0.01542
0.5965000 1.07322 0.01409
0.5981000 1.07152 0.01521
0.5997000 1.10234 0.01460
0.6014000 1.05197 0.01503
0.6030000 1.06823 0.01453
0.6047000 1.07671 0.01486
0.6063000 1.07800 0.01488
0.6079000 1.07850 0.01396
0.6096000 1.03820 0.01484
0.6112000 1.02803 0.01502
0.6128000 1.06534 0.01529
0.6145000 1.08958 0.01428
0.6161000 1.06165 0.01498
0.6178000 1.09766 0.01529
0.6194000 1.09187 0.01451
0.6210000 1.08888 0.01510
0.6227000 1.07022 0.01509
0.6243000 1.06763 0.01500
0.6259000 1.09845 0.01527
0.6276000 1.07411 0.01581
0.6292000 1.05766 0.01668
