Asteroid designations ( Number, Name, Temporary designation): -, -, K07RE7T
Observation was done on (UT) (format YYYY-MM-DD-hh): 2014 - 12 - 30 - 00:48
Observation was made by : O. Vaduvescu, F. Stevance E-mail; ovidiu.vaduvescu@gmail.com
At observatory with UAI code: 950
Obsv. comments: If this spectrum is usefull for you please contact: ovidiu.vaduvescu@gmail.com; mpopescu@imcce.fr
The spectrum was published in the article: Unpublished;Contact:mpopescu@imcce.fr
The normalization of this spectrum was made for the wavelength: 0.550 microns.
Original name of the file was: nea410195vshd19061.txt
Wavelength[um]	Reflectance	sigma(optional)
0.4013000 0.82838 0.08650
0.4041000 0.83910 0.08224
0.4069000 0.77294 0.07606
0.4092000 0.81968 0.07763
0.4122000 0.84412 0.06829
0.4148000 0.81360 0.05979
0.4165000 0.84499 0.06219
0.4181000 0.80703 0.06060
0.4197000 0.88690 0.05465
0.4213000 0.79448 0.05548
0.4230000 0.84885 0.05545
0.4246000 0.84750 0.05204
0.4262000 0.85494 0.05366
0.4278000 0.80288 0.04991
0.4297000 0.81698 0.05653
0.4315000 0.87348 0.04785
0.4331000 0.81196 0.04543
0.4347000 0.93577 0.04623
0.4363000 0.88410 0.04013
0.4380000 0.79428 0.04336
0.4398000 0.87203 0.04084
0.4416000 0.84837 0.03756
0.4432000 0.91491 0.03562
0.4449000 0.84856 0.03778
0.4465000 0.88420 0.03359
0.4481000 0.85242 0.03426
0.4497000 0.88256 0.03189
0.4514000 0.90487 0.03066
0.4530000 0.87396 0.03282
0.4546000 0.85194 0.03072
0.4562000 0.88082 0.02974
0.4579000 0.84431 0.02911
0.4595000 0.96494 0.03162
0.4611000 0.87068 0.02762
0.4627000 0.86720 0.02781
0.4644000 0.89028 0.02822
0.4660000 0.88410 0.02699
0.4680000 0.88864 0.02680
0.4701000 0.86063 0.02647
0.4717000 0.88507 0.02446
0.4733000 0.94282 0.02489
0.4749000 0.90583 0.02406
0.4766000 0.88681 0.02362
0.4782000 0.86092 0.02369
0.4798000 0.87406 0.02259
0.4814000 0.93423 0.02265
0.4831000 0.89366 0.02263
0.4847000 0.91192 0.02322
0.4863000 0.92853 0.02464
0.4880000 0.89791 0.02222
0.4896000 0.89878 0.02221
0.4912000 0.92351 0.02282
0.4928000 0.90950 0.02117
0.4945000 0.91810 0.02164
0.4961000 0.92921 0.02045
0.4977000 0.90216 0.01996
0.4993000 0.90390 0.02115
0.5010000 0.92950 0.02054
0.5026000 0.95325 0.02027
0.5042000 0.89733 0.01982
0.5059000 0.94591 0.01982
0.5075000 0.90999 0.01945
0.5091000 0.92158 0.01903
0.5107000 0.95113 0.01888
0.5124000 0.96484 0.01885
0.5140000 0.96079 0.01951
0.5156000 0.93317 0.01886
0.5173000 0.94263 0.02078
0.5189000 0.94051 0.01846
0.5205000 0.94427 0.01854
0.5222000 0.94949 0.01770
0.5238000 0.95123 0.01776
0.5254000 0.93828 0.01736
0.5270000 0.95219 0.01780
0.5287000 0.95963 0.01663
0.5303000 0.96079 0.01683
0.5319000 0.94659 0.01702
0.5336000 0.96146 0.01721
0.5352000 0.96523 0.01626
0.5368000 0.94128 0.01666
0.5385000 0.98464 0.01602
0.5401000 0.97460 0.01656
0.5417000 0.94669 0.01609
0.5434000 0.96581 0.01630
0.5450000 0.97141 0.01621
0.5466000 0.91636 0.01604
0.5483000 0.93761 0.01616
0.5499000 1.00000 0.01619
0.5515000 0.99730 0.01615
0.5531000 0.98030 0.01588
0.5548000 0.95306 0.01506
0.5564000 0.96117 0.01723
0.5580000 0.99015 0.01851
0.5597000 1.02221 0.01514
0.5613000 0.99981 0.01607
0.5629000 1.01661 0.01501
0.5646000 1.01690 0.01495
0.5662000 1.03264 0.01568
0.5678000 1.02134 0.01523
0.5695000 0.98715 0.01545
0.5711000 0.98851 0.01525
0.5727000 1.02038 0.01513
0.5744000 1.03641 0.01512
0.5760000 0.98947 0.01433
0.5776000 1.01323 0.01458
0.5793000 0.98735 0.01483
0.5809000 1.02965 0.01428
0.5825000 1.00879 0.01449
0.5842000 1.01033 0.01469
0.5858000 1.00126 0.01426
0.5875000 1.01545 0.01611
0.5891000 1.04819 0.01992
0.5907000 1.03506 0.01523
0.5924000 1.06432 0.01490
0.5940000 1.00811 0.01512
0.5956000 1.05128 0.01424
0.5973000 1.03496 0.01440
0.5989000 1.03361 0.01472
0.6005000 1.02704 0.01487
0.6022000 1.06481 0.01426
0.6038000 1.01439 0.01453
0.6054000 0.99932 0.01401
0.6071000 1.02521 0.01441
0.6087000 1.02289 0.01394
0.6104000 1.03409 0.01387
0.6120000 1.03844 0.01449
0.6136000 1.03400 0.01384
0.6153000 1.02067 0.01424
0.6169000 1.01787 0.01402
0.6185000 1.01990 0.01407
0.6202000 1.05264 0.01377
0.6218000 1.02463 0.01443
0.6234000 1.04491 0.01461
0.6251000 1.03216 0.01467
0.6267000 1.02685 0.01486
0.6284000 1.04848 0.01500
0.6300000 1.02801 0.01649
0.6316000 1.03545 0.01487
0.6333000 1.01681 0.01463
0.6349000 1.04568 0.01488
0.6366000 1.05486 0.01452
0.6382000 1.03081 0.01382
0.6398000 1.02685 0.01378
0.6415000 1.04916 0.01447
0.6431000 1.05042 0.01392
0.6447000 1.03351 0.01409
0.6464000 1.08808 0.01483
0.6480000 1.03322 0.01386
0.6497000 1.04955 0.01458
0.6513000 1.03013 0.01466
0.6529000 1.05360 0.01398
0.6546000 1.03052 0.01535
0.6564000 1.07659 0.01594
0.6583000 1.04336 0.01388
0.6599000 1.04935 0.01459
0.6616000 1.03052 0.01359
0.6632000 1.05206 0.01386
0.6648000 1.04607 0.01408
0.6665000 1.05882 0.01391
0.6681000 1.04646 0.01399
0.6698000 1.02753 0.01330
0.6714000 1.03699 0.01419
0.6730000 1.03747 0.01392
0.6747000 1.05602 0.01409
0.6763000 1.05534 0.01372
0.6780000 1.02028 0.01402
0.6796000 1.07446 0.01404
0.6813000 1.06374 0.01414
0.6829000 1.05438 0.01547
0.6845000 1.05718 0.01348
0.6862000 1.03883 0.01660
0.6878000 1.07842 0.01601
0.6895000 1.11764 0.01547
0.6911000 1.08982 0.01523
0.6927000 1.05698 0.01512
0.6944000 1.06046 0.01511
0.6960000 1.07331 0.01470
0.6977000 1.03467 0.01505
0.6993000 1.05998 0.01468
0.7010000 1.06345 0.01483
0.7026000 1.01719 0.01458
0.7043000 1.07263 0.01429
0.7059000 1.03042 0.01417
0.7075000 1.04723 0.01546
0.7092000 1.07137 0.01477
0.7108000 1.05457 0.01523
0.7125000 1.06616 0.01503
0.7141000 1.05785 0.01516
0.7158000 1.03525 0.01551
0.7174000 1.05805 0.01612
0.7191000 1.07466 0.01661
0.7207000 1.07118 0.01597
0.7223000 1.04172 0.01522
0.7240000 1.06944 0.01932
0.7256000 1.09339 0.01737
0.7273000 1.06625 0.01909
0.7289000 1.09890 0.01926
0.7306000 1.03467 0.01942
0.7322000 1.05206 0.01959
0.7339000 1.05119 0.01761
0.7355000 1.03110 0.01654
0.7372000 1.09658 0.01720
0.7388000 1.04568 0.01638
0.7404000 1.01893 0.01632
0.7421000 1.03728 0.01626
0.7437000 1.06906 0.01620
0.7454000 1.06345 0.01641
0.7470000 1.07060 0.01760
0.7487000 1.05264 0.01683
0.7503000 1.06481 0.01626
0.7520000 1.04578 0.01816
0.7536000 1.03139 0.01679
0.7553000 1.05795 0.01669
0.7569000 1.06500 0.01799
0.7586000 0.95548 0.01858
0.7608000 1.03776 0.03148
0.7631000 1.12160 0.02546
0.7647000 1.11619 0.02055
0.7664000 1.06973 0.01907
0.7680000 1.03931 0.01702
0.7697000 1.06693 0.01844
0.7713000 1.02733 0.02185
0.7730000 1.01130 0.01887
0.7746000 1.00454 0.02160
0.7763000 0.99826 0.01916
0.7779000 1.02791 0.01999
0.7796000 0.97499 0.02004
0.7812000 1.02849 0.02073
0.7829000 0.98928 0.02085
0.7845000 1.01198 0.02124
0.7862000 0.98455 0.02360
0.7878000 0.96253 0.02223
0.7895000 1.00155 0.02086
0.7911000 1.03583 0.02494
0.7928000 0.95229 0.02270
0.7944000 0.99594 0.02068
0.7961000 1.03004 0.02297
0.7977000 1.00019 0.02169
0.7994000 0.98348 0.02422
0.8010000 0.97412 0.02152
0.8027000 0.98262 0.02235
0.8043000 0.95161 0.02059
0.8060000 0.99034 0.02065
0.8076000 0.96784 0.01930
0.8093000 0.99111 0.02075
0.8109000 0.95171 0.02125
0.8126000 0.97334 0.02077
0.8142000 1.01323 0.02233
0.8159000 1.04076 0.02335
