Asteroid designations ( Number, Name, Temporary designation): 67367, -,  K00L27Y
Observation was done on (UT) (format YYYY-MM-DD-hh): 2015 - 05 - 24 - 02:37
Observation was made by : M. Popescu, R. Errmann E-mail; mpopescu@imcce.fr
At observatory with UAI code: 950
Obsv. comments: If this spectrum is usefull please contact: ovidiu.vaduvescu@gmail.com; mpopescu@imcce.fr
The spectrum was published in the article: Unpublished;Contact:mpopescu@imcce.fr
The normalization of this spectrum was made for the wavelength: 0.550 microns.
Original name of the file was: 67367vshd151928.txt
Wavelength[um]	Reflectance	sigma(optional)
0.4507000 0.80577 0.05283
0.4527000 0.79788 0.05126
0.4543000 0.82259 0.04970
0.4563000 0.65234 0.04814
0.4580000 0.81304 0.04657
0.4596000 0.82965 0.04501
0.4612000 0.68473 0.04344
0.4628000 0.67445 0.04450
0.4645000 0.65296 0.04539
0.4661000 0.70622 0.04264
0.4677000 0.58632 0.04493
0.4693000 0.68629 0.04305
0.4710000 0.70030 0.04420
0.4730000 0.82882 0.04407
0.4750000 0.76985 0.04254
0.4768000 0.77411 0.04097
0.4787000 0.72958 0.03841
0.4803000 0.75480 0.04066
0.4819000 0.75532 0.03976
0.4836000 0.82726 0.03931
0.4853000 0.84813 0.04733
0.4872000 0.83712 0.04348
0.4889000 0.80702 0.04000
0.4909000 0.94893 0.03896
0.4925000 0.86401 0.03834
0.4941000 0.77442 0.03926
0.4958000 0.74079 0.03935
0.4974000 0.86920 0.04044
0.4990000 0.87885 0.04076
0.5007000 0.76456 0.04040
0.5027000 0.76643 0.04195
0.5047000 0.75262 0.04051
0.5064000 0.94135 0.03908
0.5080000 0.73497 0.03764
0.5096000 0.86993 0.03749
0.5112000 0.88353 0.03759
0.5129000 0.99273 0.03665
0.5145000 0.99377 0.04058
0.5161000 0.90751 0.04026
0.5178000 0.81283 0.04138
0.5194000 0.79716 0.04003
0.5210000 0.90117 0.03953
0.5226000 0.93273 0.03805
0.5243000 0.87304 0.03678
0.5260000 0.97768 0.03981
0.5279000 0.86370 0.03804
0.5296000 0.90273 0.03872
0.5312000 0.89972 0.03929
0.5328000 0.89515 0.04025
0.5345000 0.93014 0.04003
0.5361000 1.09903 0.04042
0.5377000 0.91903 0.03779
0.5394000 0.89764 0.04063
0.5410000 0.88010 0.04037
0.5426000 1.01080 0.04011
0.5442000 0.97934 0.03985
0.5459000 0.99471 0.03895
0.5475000 0.87636 0.04091
0.5491000 1.11014 0.03920
0.5508000 1.00000 0.03768
0.5524000 1.08149 0.04189
0.5540000 1.10464 0.04260
0.5557000 0.98287 0.04066
0.5575000 0.94685 0.08667
0.5602000 0.96118 0.04669
0.5618000 0.99512 0.04432
0.5634000 1.04256 0.04396
0.5651000 0.98609 0.04266
0.5667000 1.02087 0.04223
0.5683000 1.14440 0.04390
0.5700000 1.00737 0.04832
0.5716000 1.01453 0.04473
0.5732000 1.09748 0.04371
0.5749000 1.07900 0.04407
0.5765000 1.10900 0.04541
0.5781000 1.02606 0.04469
0.5798000 1.03540 0.04513
0.5814000 1.06270 0.04536
0.5830000 1.13651 0.04418
0.5847000 1.23679 0.04680
0.5863000 1.19662 0.04519
0.5879000 1.18738 0.05133
0.5916000 1.06903 0.05370
0.5932000 1.08429 0.04737
0.5949000 1.07983 0.04863
0.5965000 1.07267 0.04832
0.5982000 1.03530 0.04796
0.5998000 1.12758 0.04801
0.6014000 1.08014 0.05174
0.6031000 1.13423 0.04576
0.6047000 1.27074 0.04897
0.6073000 1.16547 0.04948
0.6092000 1.20035 0.04923
0.6108000 1.14565 0.04857
0.6125000 1.21790 0.04759
0.6141000 1.21759 0.04939
0.6157000 1.11647 0.05119
0.6174000 1.15032 0.04901
0.6190000 1.07370 0.04941
0.6207000 1.27780 0.04981
0.6223000 1.21001 0.05022
0.6239000 1.27312 0.05389
0.6256000 1.24956 0.05244
0.6272000 1.18800 0.05277
0.6288000 1.19184 0.05364
0.6305000 1.24032 0.06123
0.6321000 1.03042 0.05656
0.6338000 1.10111 0.05208
0.6354000 1.22797 0.05182
0.6370000 1.15198 0.05635
0.6387000 1.28039 0.05448
0.6403000 1.19672 0.05385
0.6419000 1.07370 0.05310
0.6436000 1.34205 0.05448
0.6452000 1.20108 0.05211
0.6469000 1.31880 0.05441
0.6485000 1.26793 0.05294
0.6501000 1.23201 0.05290
0.6518000 1.29700 0.05606
0.6534000 1.26202 0.05641
0.6553000 1.33012 0.06413
0.6584000 1.27904 0.05783
0.6604000 1.23918 0.05618
0.6620000 1.28319 0.05761
0.6637000 1.28413 0.05831
0.6653000 1.34652 0.05397
0.6670000 1.36489 0.05488
0.6686000 1.39406 0.05599
0.6702000 1.34351 0.05513
0.6719000 1.40195 0.05840
0.6735000 1.36666 0.05849
0.6756000 1.40330 0.05710
0.6778000 1.23918 0.05734
0.6799000 1.39821 0.05856
0.6821000 1.38462 0.05921
0.6842000 1.23866 0.07149
0.6869000 1.20596 0.06168
0.6895000 1.31143 0.06864
0.6920000 1.43413 0.06723
0.6946000 1.23949 0.06843
0.6965000 1.34413 0.06107
0.6982000 1.32129 0.06557
0.6998000 1.31652 0.06340
0.7014000 1.44514 0.06499
0.7038000 1.29669 0.06330
0.7056000 1.32814 0.06646
0.7082000 1.33001 0.06738
0.7101000 1.35493 0.06695
0.7117000 1.30738 0.06555
0.7134000 1.43008 0.06429
0.7160000 1.18790 0.06779
0.7190000 1.25859 0.07080
0.7214000 1.40372 0.06921
0.7249000 1.27696 0.08841
0.7271000 1.32960 0.08271
0.7295000 1.17523 0.08723
0.7317000 1.27831 0.09052
0.7349000 1.28818 0.08457
0.7372000 1.32877 0.08533
0.7399000 1.27821 0.08341
0.7444000 1.37372 0.07603
0.7475000 1.37372 0.08579
0.7492000 1.41275 0.08657
0.7512000 1.36718 0.07602
0.7554000 1.36344 0.07605
0.7587000 1.33998 0.08684
0.7626000 1.19734 0.12006
0.7644000 1.24105 0.10238
0.7663000 1.26285 0.08496
0.7693000 1.33769 0.08509
0.7732000 1.32492 0.11084
0.7759000 1.33416 0.12898
0.7789000 1.32212 0.10921
0.7816000 1.37631 0.11939
0.7845000 1.27946 0.12806
0.7879000 1.25714 0.11957
0.7918000 1.25205 0.12537
0.7968000 1.23866 0.12627
0.7990000 1.35555 0.12753
0.8022000 1.34247 0.11660
0.8044000 1.39282 0.12103
0.8068000 1.32710 0.12546
0.8097000 1.28216 0.12989
