Asteroid designations ( Number, Name, Temporary designation): -, -, 
Observation was done on (UT) (format YYYY-MM-DD-hh): 2015 - 03 - 11 - 05:14
Observation was made by : O. Vaduvescu, F. Lopez E-mail; ovidiu.vaduvescu@gmail.com
At observatory with UAI code: 950
Obsv. comments: If this spectrum is usefull for you please contact: ovidiu.vaduvescu@gmail.com; mpopescu@imcce.fr
The spectrum was published in the article: Unpublished;Contact:mpopescu@imcce.fr
The normalization of this spectrum was made for the wavelength: 0.550 microns.
Original name of the file was: 2002gm2vshd121867.txt
Wavelength[um]	Reflectance	sigma(optional)
0.4209000 0.92604 0.05489
0.4232000 0.84717 0.05600
0.4248000 0.89319 0.05022
0.4267000 0.93922 0.05705
0.4285000 0.85838 0.05425
0.4301000 0.82828 0.05963
0.4324000 0.81206 0.04726
0.4348000 0.89142 0.04577
0.4366000 0.92004 0.04493
0.4382000 0.90136 0.04835
0.4399000 0.84628 0.04541
0.4415000 0.95948 0.04151
0.4433000 0.89398 0.04058
0.4452000 0.87097 0.04074
0.4468000 0.89988 0.03905
0.4484000 0.90077 0.03810
0.4500000 0.84343 0.03515
0.4517000 0.89624 0.03745
0.4533000 0.86162 0.03890
0.4549000 0.91385 0.03676
0.4565000 0.94237 0.03463
0.4582000 0.88759 0.03716
0.4598000 0.91473 0.03539
0.4614000 0.92644 0.03244
0.4631000 0.90814 0.03108
0.4647000 0.85622 0.03319
0.4663000 0.94561 0.03218
0.4679000 0.95840 0.03155
0.4696000 0.97177 0.03172
0.4712000 0.88198 0.03317
0.4728000 0.95397 0.03214
0.4745000 0.90578 0.02955
0.4761000 0.94601 0.03012
0.4777000 0.99695 0.03029
0.4793000 0.88267 0.02815
0.4810000 0.88247 0.02893
0.4826000 0.94542 0.02728
0.4842000 0.94522 0.03026
0.4859000 1.07111 0.03197
0.4875000 0.91719 0.02805
0.4891000 0.93853 0.02779
0.4907000 0.95446 0.02856
0.4924000 0.95820 0.02813
0.4940000 0.90500 0.02671
0.4956000 0.91237 0.02642
0.4973000 1.00777 0.02740
0.4989000 0.92565 0.02764
0.5005000 0.99508 0.02848
0.5021000 0.91522 0.02771
0.5038000 0.94679 0.02694
0.5054000 0.95191 0.02618
0.5070000 1.03963 0.02620
0.5087000 0.95417 0.02548
0.5103000 0.99921 0.02581
0.5119000 0.99557 0.02611
0.5136000 1.00384 0.02525
0.5152000 1.00738 0.02611
0.5168000 1.00865 0.02720
0.5185000 0.89654 0.02513
0.5201000 0.96528 0.02440
0.5217000 1.04386 0.02571
0.5234000 0.94542 0.02384
0.5250000 0.99921 0.02522
0.5266000 1.04150 0.02594
0.5282000 0.89939 0.02352
0.5299000 0.96548 0.02155
0.5315000 0.99725 0.02490
0.5331000 0.98594 0.02438
0.5348000 0.92752 0.02252
0.5364000 1.05212 0.02311
