Asteroid designations ( Number, Name, Temporary designation): 99248, -,  K01K66Y
Observation was done on (UT) (format YYYY-MM-DD-hh): 2014 - 12 - 30 - 02:17
Observation was made by : O. Vaduvescu, F. Stevance E-mail; ovidiu.vaduvescu@gmail.com
At observatory with UAI code: 950
Obsv. comments: If this spectrum is usefull for you please contact: ovidiu.vaduvescu@gmail.com; mpopescu@imcce.fr
The spectrum was published in the article: Unpublished;Contact:mpopescu@imcce.fr
The normalization of this spectrum was made for the wavelength: 0.550 microns.
Original name of the file was: 99248vshd256516.txt
Wavelength[um]	Reflectance	sigma(optional)
0.4510000 0.82170 0.00949
0.4527000 0.82420 0.00938
0.4546000 0.84976 0.00979
0.4562000 0.82640 0.00946
0.4579000 0.84067 0.00951
0.4595000 0.86763 0.00996
0.4611000 0.84906 0.00902
0.4627000 0.84796 0.00952
0.4644000 0.84716 0.00915
0.4660000 0.84476 0.00893
0.4676000 0.85485 0.00943
0.4692000 0.84706 0.00825
0.4709000 0.83488 0.00924
0.4725000 0.88050 0.00897
0.4741000 0.90027 0.00847
0.4758000 0.89258 0.00885
0.4774000 0.90346 0.00869
0.4790000 0.89248 0.00837
0.4806000 0.86922 0.00850
0.4823000 0.88520 0.00848
0.4839000 0.88240 0.00822
0.4855000 0.89777 0.00922
0.4871000 0.91135 0.00896
0.4888000 0.87082 0.00870
0.4904000 0.90257 0.00845
0.4920000 0.92702 0.00841
0.4937000 0.90995 0.00910
0.4953000 0.91235 0.00814
0.4969000 0.89378 0.00810
0.4985000 0.88929 0.00841
0.5002000 0.90566 0.00778
0.5018000 0.89188 0.00810
0.5034000 0.90586 0.00726
0.5050000 0.91115 0.00743
0.5067000 0.92483 0.00828
0.5083000 0.90506 0.00769
0.5099000 0.93112 0.00754
0.5116000 0.92383 0.00780
0.5132000 0.92902 0.00810
0.5148000 0.93351 0.00767
0.5165000 0.89408 0.00859
0.5181000 0.92513 0.00800
0.5197000 0.94639 0.00759
0.5213000 0.96516 0.00773
0.5230000 0.95118 0.00853
0.5246000 0.97145 0.00720
0.5262000 0.95448 0.00762
0.5279000 0.95538 0.00715
0.5295000 0.97095 0.00707
0.5311000 0.95717 0.00714
0.5328000 0.99131 0.00758
0.5344000 0.98982 0.00718
0.5360000 0.97864 0.00737
0.5376000 0.95687 0.00749
0.5393000 0.96865 0.00729
0.5409000 0.95488 0.00761
0.5425000 0.97265 0.00756
0.5442000 0.98363 0.00776
0.5458000 1.02675 0.00747
0.5474000 1.01727 0.00718
0.5491000 0.99611 0.00709
0.5507000 1.00000 0.00794
0.5523000 0.98303 0.00730
0.5540000 0.98902 0.00798
0.5556000 0.99940 0.00752
0.5572000 0.99681 0.01312
0.5589000 1.02955 0.00831
0.5605000 1.03195 0.00771
0.5621000 1.00709 0.00737
0.5638000 1.01458 0.00750
0.5654000 1.02745 0.00777
0.5670000 1.01557 0.00742
0.5687000 1.01497 0.00744
0.5703000 1.03264 0.00797
0.5719000 1.04682 0.00731
0.5736000 1.02566 0.00785
0.5752000 1.05640 0.00705
0.5768000 1.03544 0.00692
0.5785000 1.06798 0.00740
0.5801000 1.06579 0.00718
0.5817000 1.03065 0.00726
0.5834000 1.03833 0.00715
0.5850000 1.07747 0.00794
0.5866000 1.07717 0.00783
0.5883000 1.02546 0.01205
0.5899000 1.04293 0.01227
0.5915000 1.06299 0.00749
0.5932000 1.07437 0.00767
0.5948000 1.08625 0.00759
0.5964000 1.07767 0.00752
0.5981000 1.06030 0.00778
0.5997000 1.09214 0.00751
0.6014000 1.07038 0.00785
0.6030000 1.09903 0.00746
0.6046000 1.08555 0.00777
0.6063000 1.08066 0.00817
0.6079000 1.09134 0.00701
0.6095000 1.10672 0.00783
0.6112000 1.11311 0.00718
0.6128000 1.08755 0.00738
0.6144000 1.09214 0.00726
0.6161000 1.06739 0.00771
0.6177000 1.10652 0.00783
0.6194000 1.07627 0.00745
0.6210000 1.09584 0.00778
0.6226000 1.11201 0.00769
0.6243000 1.11530 0.00819
0.6259000 1.11910 0.00815
0.6275000 1.08296 0.00817
0.6292000 1.10702 0.01062
0.6308000 1.15224 0.00937
0.6325000 1.12089 0.00849
0.6341000 1.13427 0.00805
0.6357000 1.11600 0.00847
0.6374000 1.11590 0.00794
0.6390000 1.10702 0.00798
0.6407000 1.11131 0.00769
0.6423000 1.14545 0.00797
0.6439000 1.11101 0.00746
0.6456000 1.12429 0.00838
0.6472000 1.12419 0.00804
0.6488000 1.14386 0.00776
0.6505000 1.12848 0.00829
0.6521000 1.11720 0.00846
0.6538000 1.14306 0.00862
0.6554000 1.14715 0.01015
0.6570000 1.12858 0.00856
0.6587000 1.13836 0.00798
0.6603000 1.13846 0.00799
0.6620000 1.15943 0.00741
0.6636000 1.14206 0.00805
0.6652000 1.15204 0.00718
0.6669000 1.15034 0.00768
0.6685000 1.15274 0.00775
0.6702000 1.13038 0.00767
0.6718000 1.15314 0.00826
0.6735000 1.14106 0.00810
0.6751000 1.14735 0.00791
0.6767000 1.14855 0.00751
