Asteroid designations ( Number, Name, Temporary designation): 18916, -,  K00O44G, 1977 SD, J77S00D
Observation was done on (UT) (format YYYY-MM-DD-hh): 2015 - 07 - 22 - 04:25
Observation was made by : M. Popescu, I. Ordonez E-mail; mpopescu@imcce.fr
At observatory with UAI code: 950
Obsv. comments: 
The spectrum was published in the article: Unpublished;Contact:mpopescu@imcce.fr
The normalization of this spectrum was made for the wavelength: 0.550 microns.
Original name of the file was: 18916vshd198273.txt
Wavelength[um]	Reflectance	sigma(optional)
0.4507000 1.01071 0.02932
0.4523000 1.00101 0.03312
0.4539000 0.98484 0.02995
0.4555000 0.92885 0.03098
0.4572000 0.96169 0.02612
0.4590000 0.96907 0.02634
0.4612000 0.96786 0.02656
0.4628000 1.01597 0.02555
0.4645000 0.94926 0.02507
0.4661000 0.97059 0.02692
0.4677000 0.91672 0.02405
0.4693000 0.95998 0.02421
0.4710000 0.97817 0.02411
0.4726000 0.99677 0.02215
0.4742000 0.96665 0.02180
0.4758000 0.99747 0.02225
0.4775000 1.02112 0.02102
0.4791000 1.00697 0.02158
0.4807000 1.01001 0.02130
0.4823000 0.91833 0.02102
0.4840000 1.00030 0.02201
0.4856000 0.97382 0.02324
0.4872000 1.04760 0.02055
0.4889000 0.96129 0.02118
0.4905000 0.96523 0.02020
0.4921000 0.98251 0.01941
0.4937000 0.94916 0.01915
0.4954000 0.98322 0.01889
0.4970000 0.94997 0.01863
0.4986000 0.96018 0.01914
0.5002000 0.98090 0.01880
0.5019000 0.93713 0.01915
0.5035000 0.98322 0.01813
0.5051000 1.01506 0.01802
0.5068000 0.96220 0.01753
0.5084000 0.98403 0.01763
0.5100000 1.01668 0.01764
0.5116000 0.96806 0.01718
0.5133000 1.02486 0.01767
0.5149000 0.95310 0.01823
0.5165000 0.94300 0.01813
0.5182000 1.00667 0.01833
0.5198000 0.99960 0.01678
0.5214000 1.00657 0.01614
0.5231000 0.99495 0.01704
0.5247000 0.99818 0.01584
0.5263000 1.03073 0.01619
0.5279000 1.02254 0.01575
0.5296000 1.03366 0.01616
0.5312000 1.03164 0.01611
0.5328000 1.00445 0.01701
0.5345000 1.01556 0.01598
0.5361000 1.02547 0.01634
0.5377000 1.02092 0.01553
0.5394000 1.01647 0.01600
0.5410000 0.98636 0.01536
0.5426000 1.02112 0.01601
0.5442000 1.03386 0.01583
0.5459000 1.06145 0.01610
0.5475000 1.00222 0.01575
0.5491000 1.01223 0.01546
0.5508000 1.00000 0.01597
0.5524000 1.00344 0.01595
