Asteroid designations ( Number, Name, Temporary designation): 1620, Geographos,  1951 RA, J51R00A, 1983 CY3, J83C03Y
Observation was done on (UT) (format YYYY-MM-DD-hh): 2014 - 12 - 30 - 05:48
Observation was made by : O. Vaduvescu, F. Stevance E-mail; ovidiu.vaduvescu@gmail.com
At observatory with UAI code: 950
Obsv. comments: If this spectrum is usefull for you please contact: ovidiu.vaduvescu@gmail.com; mpopescu@imcce.fr
The spectrum was published in the article: Unpublished;Contact:mpopescu@imcce.fr
The normalization of this spectrum was made for the wavelength: 0.550 microns.
Original name of the file was: nea1620vshd73708.txt
Wavelength[um]	Reflectance	sigma(optional)
0.4520000 0.97288 0.01250
0.4558000 0.93731 0.01214
0.4597000 0.94354 0.01167
0.4635000 0.92747 0.01076
0.4676000 0.96494 0.01089
0.4715000 0.94374 0.01081
0.4751000 0.96022 0.00981
0.4794000 0.92043 0.00947
0.4833000 0.95208 0.00927
0.4872000 0.94655 0.01026
0.4910000 0.96916 0.00931
0.4947000 0.95831 0.00909
0.4983000 0.98182 0.00899
0.5020000 0.96484 0.00899
0.5057000 0.96283 0.00865
0.5093000 0.97107 0.00852
0.5130000 1.01477 0.00867
0.5171000 1.00452 0.00919
0.5207000 0.97217 0.00846
0.5244000 1.01638 0.00839
0.5283000 0.97458 0.00832
0.5321000 1.00201 0.00813
0.5358000 1.01165 0.00791
0.5395000 1.00653 0.00801
0.5432000 0.97458 0.00780
0.5468000 1.02642 0.00778
0.5505000 1.00000 0.00811
0.5542000 0.99789 0.00791
0.5578000 0.97669 0.01264
0.5615000 1.00924 0.00826
0.5652000 1.00291 0.00780
0.5689000 1.00894 0.00785
0.5725000 0.99287 0.00785
0.5762000 1.04300 0.00799
0.5799000 0.99488 0.00826
0.5836000 1.03275 0.00808
0.5872000 1.04430 0.00898
0.5909000 0.99709 0.01228
0.5946000 1.01185 0.00827
0.5983000 1.06249 0.00828
0.6020000 1.03677 0.00795
0.6056000 1.04541 0.00784
0.6093000 1.03898 0.00792
0.6130000 1.04179 0.00799
0.6167000 1.02954 0.00819
0.6204000 1.05425 0.00806
0.6241000 1.06902 0.00861
0.6277000 1.07062 0.00912
0.6314000 1.08780 0.01190
0.6351000 1.04029 0.00905
0.6388000 1.04641 0.00878
0.6425000 1.07424 0.00786
0.6462000 1.06178 0.00856
0.6499000 1.03064 0.00886
0.6536000 1.08328 0.00907
0.6573000 1.01547 0.00979
0.6609000 1.06460 0.00843
0.6646000 1.06178 0.00826
0.6683000 1.07906 0.00809
0.6720000 1.10197 0.00834
0.6757000 1.09594 0.00828
0.6794000 1.08399 0.00822
0.6831000 1.07394 0.01010
0.6871000 1.10167 0.01117
0.6909000 1.08931 0.01013
0.6946000 1.10398 0.01044
0.6983000 1.08127 0.01075
0.7020000 1.10890 0.01106
0.7057000 1.09484 0.01138
0.7094000 1.09192 0.01169
0.7131000 1.13623 0.01200
0.7168000 1.16325 0.01231
0.7205000 1.05184 0.01263
0.7242000 1.15773 0.01294
0.7279000 1.10157 0.01325
0.7316000 1.09906 0.01356
0.7353000 1.09624 0.01387
0.7390000 1.13623 0.01419
0.7427000 1.10127 0.01450
0.7464000 1.12769 0.01481
0.7501000 1.08158 0.01512
0.7538000 1.10599 0.01543
0.7577000 1.06560 0.01575
0.7640000 1.07997 0.01606
0.7678000 1.06299 0.01637
0.7715000 1.13191 0.01668
0.7753000 1.12658 0.01700
0.7790000 1.10488 0.01731
0.7827000 1.11222 0.01762
0.7864000 1.13241 0.02090
0.7905000 1.15511 0.02135
0.7942000 1.07957 0.02080
0.7981000 1.09896 0.02106
0.8021000 1.14316 0.02043
0.8058000 1.08459 0.01758
0.8095000 1.13884 0.01672
0.8132000 1.09614 0.01757
0.8171000 1.10518 0.01845
0.8211000 1.09765 0.01856
0.8256000 1.08449 0.01702
0.8293000 1.06128 0.02904
0.8330000 1.05837 0.02252
0.8368000 1.03094 0.02898
0.8405000 1.01246 0.02804
0.8446000 1.03325 0.02944
0.8483000 1.09062 0.02595
0.8521000 1.02381 0.02353
0.8558000 1.00613 0.02204
0.8595000 1.06872 0.02033
0.8632000 1.05475 0.02486
0.8670000 1.02009 0.02952
0.8711000 0.99005 0.02058
0.8748000 1.04260 0.02225
0.8791000 0.99970 0.03571
0.8835000 1.02471 0.03453
0.8880000 0.93741 0.03350
0.8926000 0.97519 0.03696
0.8967000 0.99387 0.03352
