Asteroid designations ( Number, Name, Temporary designation): 68063, -,  K00Y66J, 1964 VG, J64V00G
Observation was done on (UT) (format YYYY-MM-DD-hh): 2014 - 08 - 21 - 04:25
Observation was made by : O. Vaduvescu; M. Popescu E-mail; ovidiu.vaduvescu@gmail.com;
At observatory with UAI code: 950
Obsv. comments: INT/IDS; If this spectrum is usefull please contact: ovidiu.vaduvescu@gmail.com; mpopescu@imcce.fr
The spectrum was published in the article: Unpublished; Contact:mpopescu@imcce.fr
The normalization of this spectrum was made for the wavelength: 0.550 microns.
Original name of the file was: 68063vshd239928.txt
Wavelength[um]	Reflectance	sigma(optional)
0.4009000 0.63292 0.03615
0.4025000 0.62106 0.03203
0.4041000 0.60921 0.03293
0.4057000 0.57423 0.03261
0.4074000 0.63332 0.03203
0.4093000 0.63252 0.03062
0.4118000 0.67407 0.02692
0.4135000 0.65016 0.02907
0.4151000 0.65415 0.02714
0.4167000 0.70297 0.02548
0.4183000 0.70656 0.02565
0.4200000 0.69081 0.02576
0.4216000 0.71572 0.02411
0.4232000 0.71792 0.02393
0.4248000 0.71483 0.02304
0.4265000 0.70337 0.02477
0.4281000 0.70855 0.02345
0.4297000 0.71134 0.02832
0.4313000 0.65883 0.02433
0.4330000 0.75000 0.02296
0.4346000 0.73256 0.02156
0.4362000 0.69749 0.01993
0.4378000 0.73196 0.02096
0.4395000 0.72160 0.02044
0.4411000 0.67666 0.01993
0.4427000 0.76873 0.01873
0.4443000 0.74462 0.01876
0.4460000 0.75379 0.01764
0.4476000 0.76505 0.01618
0.4492000 0.80171 0.01622
0.4508000 0.77212 0.01623
0.4525000 0.79006 0.01716
0.4541000 0.77850 0.01547
0.4557000 0.80709 0.01618
0.4574000 0.79145 0.01556
0.4590000 0.80809 0.01566
0.4606000 0.81148 0.01462
0.4622000 0.84695 0.01447
0.4639000 0.80859 0.01451
0.4655000 0.84177 0.01459
0.4671000 0.86010 0.01471
0.4688000 0.78687 0.01396
0.4704000 0.86230 0.01366
0.4720000 0.87395 0.01336
0.4736000 0.82553 0.01306
0.4753000 0.84366 0.01346
