Asteroid designations ( Number, Name, Temporary designation): 112985, -,  K02R28S
Observation was done on (UT) (format YYYY-MM-DD-hh): 2015 - 05 - 27 - 02:45
Observation was made by : M. Popescu, I. Ordonez E-mail; mpopescu@imcce.fr
At observatory with UAI code: 950
Obsv. comments: 
The spectrum was published in the article: Unpublished;Contact:mpopescu@imcce.fr
The normalization of this spectrum was made for the wavelength: 0.550 microns.
Original name of the file was: 112985vshd142011.txt
Wavelength[um]	Reflectance	sigma(optional)
0.4510000 1.01843 0.01701
0.4526000 0.99058 0.01954
0.4542000 1.00931 0.01804
0.4558000 1.02183 0.02190
0.4575000 0.96534 0.01978
0.4591000 0.95683 0.01788
0.4607000 0.97386 0.01650
0.4623000 1.02674 0.01564
0.4640000 0.97095 0.01491
0.4656000 0.94922 0.01544
0.4672000 0.98968 0.01549
0.4688000 0.95964 0.01559
0.4705000 0.96605 0.01496
0.4721000 0.97987 0.01440
0.4737000 0.99299 0.01392
0.4753000 0.97015 0.01385
0.4769000 0.99770 0.01364
0.4786000 1.01723 0.01412
0.4802000 1.00331 0.01327
0.4818000 0.97676 0.01303
0.4834000 0.93950 0.01346
0.4851000 0.93580 0.01416
0.4867000 1.00491 0.01499
0.4883000 0.96354 0.01378
0.4899000 1.00030 0.01266
0.4916000 0.97957 0.01341
0.4932000 0.99018 0.01280
0.4948000 0.98858 0.01226
0.4964000 1.00050 0.01209
0.4981000 0.99740 0.01308
0.4997000 0.98247 0.01279
0.5013000 0.96765 0.01229
0.5029000 0.98468 0.01274
0.5046000 1.00381 0.01114
0.5062000 0.97696 0.01143
0.5078000 1.00210 0.01131
0.5095000 0.96364 0.01146
0.5111000 0.98277 0.01096
0.5127000 0.97706 0.01113
0.5143000 0.97306 0.01113
0.5160000 0.92177 0.01124
0.5176000 0.99028 0.01189
0.5192000 0.98898 0.01202
0.5208000 0.96985 0.01184
0.5225000 0.98858 0.01127
0.5241000 0.96524 0.01155
0.5257000 0.95162 0.01143
0.5274000 0.99018 0.01115
0.5290000 0.99319 0.01025
0.5306000 1.02274 0.01049
0.5322000 0.98317 0.01114
0.5339000 0.99549 0.01064
0.5355000 1.02113 0.01031
0.5371000 1.02965 0.01084
0.5388000 0.99760 0.00993
0.5412000 0.98377 0.01012
0.5428000 0.99649 0.01027
0.5445000 1.01763 0.01018
0.5461000 0.98598 0.01041
0.5477000 1.02304 0.01016
0.5493000 1.00000 0.01032
0.5510000 0.99099 0.01028
0.5526000 1.01062 0.01053
0.5542000 0.98117 0.01043
0.5559000 0.94832 0.01335
0.5575000 0.89683 0.03540
0.5591000 0.99309 0.01257
0.5608000 0.97566 0.01041
0.5624000 1.00451 0.01100
0.5640000 1.00200 0.01099
0.5657000 1.02554 0.01098
0.5673000 1.02284 0.01097
0.5689000 1.00331 0.01086
0.5705000 0.99179 0.01042
0.5722000 0.99669 0.01026
0.5738000 1.00501 0.00956
0.5754000 1.01332 0.00975
0.5771000 0.99018 0.00988
0.5787000 1.01743 0.01046
0.5803000 1.02604 0.00981
0.5820000 1.00130 0.01001
0.5836000 0.99549 0.00945
0.5852000 1.01843 0.01038
0.5869000 1.00631 0.01030
0.5885000 1.03345 0.01859
0.5901000 1.01953 0.01427
0.5918000 0.98137 0.01091
0.5934000 0.98938 0.01002
0.5950000 0.97686 0.01104
0.5967000 1.01282 0.01017
0.5983000 0.99249 0.00999
0.5999000 1.04397 0.01014
0.6016000 0.99569 0.01033
0.6032000 1.02444 0.00981
0.6048000 1.01953 0.00957
0.6065000 1.02694 0.01015
0.6081000 1.01833 0.00965
0.6097000 1.03305 0.01072
0.6114000 1.02364 0.01026
0.6130000 1.01092 0.01035
0.6146000 1.01923 0.01101
0.6163000 0.98438 0.01112
0.6179000 1.03826 0.01009
0.6195000 1.02093 0.00978
0.6212000 1.04838 0.01018
0.6228000 1.04457 0.01123
0.6245000 1.06420 0.01546
0.6261000 1.02113 0.01969
0.6277000 1.04447 0.02393
0.6294000 1.00952 0.01842
0.6310000 1.01292 0.01292
0.6326000 1.04818 0.01127
0.6343000 1.05278 0.01132
0.6359000 1.04207 0.01310
0.6375000 1.03446 0.01110
0.6392000 1.04487 0.01103
0.6408000 1.07051 0.01042
0.6425000 1.06090 0.01068
0.6441000 1.04036 0.01018
0.6457000 1.04277 0.01185
0.6474000 1.04477 0.01094
0.6490000 1.07482 0.01167
0.6506000 1.07111 0.01154
0.6523000 1.09165 0.01189
0.6539000 1.09245 0.01187
0.6556000 1.08964 0.01435
0.6572000 1.11528 0.01318
0.6588000 1.05208 0.01135
0.6605000 1.04918 0.01116
0.6621000 1.04898 0.01098
0.6638000 1.08303 0.01100
0.6654000 1.09195 0.01063
0.6670000 1.09165 0.01123
0.6687000 1.11228 0.01106
0.6703000 1.10847 0.01164
