Asteroid designations ( Number, Name, Temporary designation): -, -, K09Q31F
Observation was done on (UT) (format YYYY-MM-DD-hh): 2014 - 02 - 12 - 03:50
Observation was made by : O. Vaduvescu; M. Popescu E-mail; mpopescu@imcce.fr
At observatory with UAI code: 950
Obsv. comments: INT/IDS instrument; If this spectrum is usefull please contact: ovidiu.vaduvescu@gmail.com; mpopescu@imcce.fr
The spectrum was published in the article: Unpublished; Contact:mpopescu@imcce.fr
The normalization of this spectrum was made for the wavelength: 0.550 microns.
Original name of the file was: 2009qf31vshd120566.txt
Wavelength[um]	Reflectance	sigma(optional)
0.4511000 0.94152 0.02128
0.4533000 0.96491 0.02176
0.4555000 0.91643 0.02086
0.4575000 0.89954 0.02013
0.4595000 0.90574 0.02027
0.4614000 0.94562 0.01924
0.4634000 0.94312 0.01921
0.4655000 0.93423 0.01864
0.4673000 0.90834 0.01807
0.4692000 0.93673 0.01772
0.4710000 0.95492 0.01793
0.4729000 0.93992 0.01738
0.4747000 0.93653 0.01745
0.4766000 0.93653 0.01693
0.4784000 0.97161 0.01692
0.4803000 0.97201 0.01605
0.4821000 0.92723 0.01624
0.4840000 0.94982 0.01604
0.4859000 0.96741 0.01781
0.4879000 0.94532 0.01677
0.4897000 0.97611 0.01588
0.4916000 0.93992 0.01514
0.4934000 0.94262 0.01605
0.4953000 0.95352 0.01482
0.4971000 0.95802 0.01491
0.4991000 0.94052 0.01450
0.5010000 0.93373 0.01426
0.5029000 0.92463 0.01450
0.5047000 0.92373 0.01393
0.5066000 0.92943 0.01335
0.5084000 0.93273 0.01346
0.5103000 0.94662 0.01357
0.5121000 0.98031 0.01354
0.5140000 0.92203 0.01347
0.5158000 0.93583 0.01314
0.5178000 0.91903 0.01395
0.5199000 0.97071 0.01348
0.5218000 0.94982 0.01301
0.5237000 0.96291 0.01259
0.5255000 0.97461 0.01278
0.5274000 0.92283 0.01307
0.5292000 0.99450 0.01221
0.5311000 1.00630 0.01226
0.5329000 1.00520 0.01276
0.5348000 0.96601 0.01238
0.5366000 0.99240 0.01232
0.5385000 1.00360 0.01258
0.5403000 0.96831 0.01290
0.5422000 0.98071 0.01466
