Asteroid designations ( Number, Name, Temporary designation): 13553, Masaakikoyama, 1992_JE
Observation was done on (UT) (format YYYY-MM-DD-hh): 2005 - 06 - 19 - 00:00
Observation was made by : Simone Ieva E-mail; simone.ieva@obspm.fr
At observatory with UAI code: 262
Obsv. comments: 
The spectrum was published in the article: 
The normalization of this spectrum was made for the wavelength: 0.550 microns.
Original name of the file was: 13553.txt
Wavelength[um]	Reflectance	sigma(optional)
0.4205 0.84843
0.4212 0.83074
0.4220 0.82004
0.4227 0.84251
0.4234 0.81451
0.4242 0.85632
0.4249 0.83678
0.4256 0.82790
0.4264 0.85910
0.4271 0.84064
0.4278 0.86923
0.4286 0.87420
0.4293 0.80151
0.4300 0.78733
0.4308 0.89138
0.4315 0.92489
0.4322 0.92083
0.4330 0.89924
0.4337 0.91319
0.4344 0.90581
0.4352 0.93492
0.4359 0.91003
0.4366 0.88508
0.4374 0.86462
0.4381 0.87798
0.4388 0.86035
0.4396 0.83090
0.4403 0.86378
0.4410 0.89657
0.4418 0.91996
0.4425 0.91550
0.4432 0.85660
0.4440 0.87695
0.4447 0.85515
0.4454 0.82003
0.4462 0.89606
0.4469 0.92810
0.4476 0.93160
0.4484 0.94228
0.4491 0.92674
0.4498 0.93303
0.4506 0.92955
0.4513 0.91081
0.4520 0.90383
0.4528 0.89268
0.4535 0.90381
0.4542 0.91260
0.4550 0.92939
0.4557 0.89570
0.4564 0.92475
0.4572 0.92620
0.4579 0.91833
0.4586 0.94932
0.4594 0.90778
0.4601 0.95158
0.4608 0.91405
0.4616 0.92320
0.4623 0.95985
0.4630 0.88982
0.4638 0.90484
0.4645 0.93513
0.4652 0.92606
0.4660 0.91784
0.4667 0.90955
0.4674 0.91700
0.4682 0.91697
0.4689 0.92516
0.4696 0.93025
0.4704 0.91916
0.4711 0.92741
0.4718 0.93943
0.4726 0.93952
0.4733 0.93345
0.4740 0.96452
0.4748 0.97233
0.4755 0.94140
0.4762 0.91932
0.4770 0.94802
0.4777 0.93567
0.4784 0.94118
0.4792 0.91884
0.4799 0.93950
0.4806 0.92436
0.4814 0.95520
0.4821 0.95744
0.4828 0.94541
0.4836 0.94491
0.4843 0.97585
0.4850 1.00680
0.4858 0.95520
0.4865 1.04728
0.4872 1.00177
0.4880 0.95567
0.4887 0.94372
0.4894 0.96340
0.4902 0.96803
0.4909 0.94164
0.4916 0.91608
0.4924 0.93155
0.4931 0.91919
0.4938 0.95360
