Asteroid designations ( Number, Name, Temporary designation): 381677, -,  K09B81J
Observation was done on (UT) (format YYYY-MM-DD-hh): 2014 - 02 - 12 - 05:15
Observation was made by : O. Vaduvescu; M. Popescu E-mail; mpopescu@imcce.fr
At observatory with UAI code: 950
Obsv. comments: INT/IDS instrumet; If this spectrum is usefull; please contact ovidiu.vaduvescu@gmail.com; mpopescu@imcce.fr
The spectrum was published in the article: Unpublished; Contact:mpopescu@imcce.
The normalization of this spectrum was made for the wavelength: 0.550 microns.
Original name of the file was: 2009bj81vshd120566.txt
Wavelength[um]	Reflectance	sigma(optional)
0.4816000 0.96280 0.01690
0.4849000 0.93999 0.01728
0.4882000 0.96816 0.01803
0.4915000 0.96905 0.01631
0.4948000 0.96142 0.01580
0.4980000 0.99008 0.01550
0.5013000 0.95249 0.01548
0.5046000 0.97729 0.01489
0.5079000 0.97500 0.01455
0.5112000 0.97500 0.01445
0.5145000 0.95318 0.01430
0.5178000 0.93325 0.01487
0.5211000 0.98949 0.01433
0.5244000 0.97996 0.01384
0.5277000 1.02420 0.01346
0.5310000 0.99554 0.01308
0.5343000 1.00853 0.01337
0.5375000 1.01766 0.01348
0.5408000 1.02252 0.01349
0.5441000 0.97987 0.01402
0.5474000 1.00258 0.01344
0.5507000 1.00000 0.01286
0.5550000 1.01964 0.01235
0.5590000 0.99802 0.01854
0.5623000 1.05872 0.01186
0.5656000 1.03045 0.01193
0.5689000 1.02222 0.01176
0.5722000 1.01855 0.01190
0.5755000 1.05366 0.01185
0.5788000 1.06784 0.01195
0.5821000 1.06705 0.01185
0.5854000 1.06784 0.01185
0.5887000 1.06705 0.01741
0.5920000 1.03154 0.01279
0.5953000 1.06893 0.01242
0.5986000 1.07290 0.01199
0.6019000 1.08153 0.01209
0.6052000 1.11089 0.01210
0.6085000 1.06001 0.01227
0.6124000 1.08133 0.01532
0.6158000 1.07707 0.01295
0.6191000 1.06566 0.01209
0.6224000 1.09839 0.01258
0.6257000 1.04582 0.06215
0.6290000 1.10573 0.01578
0.6323000 1.09006 0.01457
0.6356000 1.07518 0.01328
0.6389000 1.10871 0.01199
0.6422000 1.09810 0.01209
0.6456000 1.12071 0.01218
0.6489000 1.09363 0.01248
0.6522000 1.09978 0.01255
0.6555000 1.09839 0.01391
0.6588000 1.12696 0.01279
0.6621000 1.13033 0.01255
0.6654000 1.10276 0.01227
0.6688000 1.11803 0.01226
0.6721000 1.08669 0.01218
0.6754000 1.10256 0.01211
0.6787000 1.14362 0.01235
0.6826000 1.12418 0.01309
0.6860000 1.08332 0.01351
0.6895000 1.10762 0.01388
0.6928000 1.09760 0.01366
0.6961000 1.09046 0.01335
0.6995000 1.12240 0.01290
0.7028000 1.10821 0.01204
0.7061000 1.09770 0.01296
0.7094000 1.11248 0.01308
0.7128000 1.10603 0.01265
0.7161000 1.10186 0.01259
0.7194000 1.07846 0.01283
0.7227000 1.09135 0.01316
0.7262000 1.09978 0.01594
0.7296000 1.08560 0.01618
0.7329000 1.09304 0.01615
0.7362000 1.09611 0.01611
0.7400000 1.08401 0.01425
0.7435000 1.06159 0.04569
0.7469000 1.12904 0.02994
0.7502000 1.09681 0.01420
0.7535000 1.11516 0.08296
0.7568000 1.08143 0.01479
0.7603000 1.06040 0.01835
0.7643000 1.08699 0.02191
0.7677000 1.05961 0.01584
0.7710000 1.06943 0.01923
0.7743000 1.05376 0.01828
0.7777000 1.05624 0.01780
0.7810000 1.01101 0.02048
0.7843000 1.00466 0.02050
0.7877000 1.01180 0.02103
0.7910000 1.03105 0.02189
0.7944000 1.01954 0.01924
0.7980000 1.01061 0.02042
0.8015000 1.02738 0.02088
0.8048000 1.01220 0.01917
0.8081000 0.92363 0.01842
0.8115000 0.96439 0.01855
0.8148000 0.95527 0.01801
0.8182000 0.96876 0.01827
0.8215000 0.96548 0.01846
0.8248000 0.93692 0.01865
0.8282000 0.97669 0.02507
0.8315000 0.93156 0.02391
0.8350000 0.98582 0.02672
0.8384000 0.92968 0.02266
0.8418000 0.94287 0.02919
0.8453000 0.96796 0.02628
0.8487000 0.93841 0.02411
0.8520000 0.88832 0.02323
0.8554000 0.89982 0.02235
0.8587000 0.90458 0.02147
0.8623000 0.91728 0.02059
0.8657000 0.93235 0.01972
0.8694000 0.92769 0.01884
0.8727000 0.87631 0.01796
0.8763000 0.91609 0.01708
0.8811000 0.88266 0.01620
0.8851000 0.86788 0.01532
0.8888000 0.86858 0.01445
0.8924000 0.87135 0.01357
0.8960000 0.90419 0.01269
